sub_id,valence,matchness,sequence,sub_i,m.e,val.e,seq.e,err,dv
1,Bad,match,image_first,-99.65823534031023,-0.5,-0.3333333333333333,-0.3333333333333333,-10.36596991028844,243.86468363829027
1,Bad,match,simultaneus,-99.65823534031023,-0.5,-0.3333333333333333,0.6666666666666666,13.244509270861162,310.80849615277316
1,Bad,match,word_first,-99.65823534031023,-0.5,-0.3333333333333333,-0.3333333333333333,0.3946333732447263,254.62528692182343
1,Bad,mismatch,image_first,-99.65823534031023,0.5,-0.3333333333333333,-0.3333333333333333,-19.84721156052516,266.6056642102757
1,Bad,mismatch,simultaneus,-99.65823534031023,0.5,-0.3333333333333333,0.6666666666666666,14.803057787198359,337.9226002246659
1,Bad,mismatch,word_first,-99.65823534031023,0.5,-0.3333333333333333,-0.3333333333333333,-6.342596699747159,280.1102790710537
1,Good,match,image_first,-99.65823534031023,-0.5,0.6666666666666666,-0.3333333333333333,-5.197459949829555,302.3665269320824
1,Good,match,simultaneus,-99.65823534031023,-0.5,0.6666666666666666,0.6666666666666666,3.329503853372013,344.2268240686173
1,Good,match,word_first,-99.65823534031023,-0.5,0.6666666666666666,-0.3333333333333333,-6.005430321701146,301.55855656021083
1,Good,mismatch,image_first,-99.65823534031023,0.5,0.6666666666666666,-0.3333333333333333,16.886433262687863,350.00597570015543
1,Good,mismatch,simultaneus,-99.65823534031023,0.5,0.6666666666666666,0.6666666666666666,7.754471288772929,387.5406803929072
1,Good,mismatch,word_first,-99.65823534031023,0.5,0.6666666666666666,-0.3333333333333333,10.36211214238437,343.4816545798519
1,Neutral,match,image_first,-99.65823534031023,-0.5,-0.3333333333333333,-0.3333333333333333,-15.101941213642958,239.12871233493576
1,Neutral,match,simultaneus,-99.65823534031023,-0.5,-0.3333333333333333,0.6666666666666666,1.0524933734288806,298.6164802553409
1,Neutral,match,word_first,-99.65823534031023,-0.5,-0.3333333333333333,-0.3333333333333333,-3.4553250930324815,250.77532845554623
1,Neutral,mismatch,image_first,-99.65823534031023,0.5,-0.3333333333333333,-0.3333333333333333,-14.010452190669852,272.442423580131
1,Neutral,mismatch,simultaneus,-99.65823534031023,0.5,-0.3333333333333333,0.6666666666666666,-18.047095182175713,305.0724472552918
1,Neutral,mismatch,word_first,-99.65823534031023,0.5,-0.3333333333333333,-0.3333333333333333,-10.126336301654266,276.3265394691466
2,Bad,match,image_first,72.18241464979832,-0.5,-0.3333333333333333,-0.3333333333333333,32.49780498611938,458.5691085248066
2,Bad,match,simultaneus,72.18241464979832,-0.5,-0.3333333333333333,0.6666666666666666,-9.62720237551188,459.77743449650865
2,Bad,match,word_first,72.18241464979832,-0.5,-0.3333333333333333,-0.3333333333333333,-6.974434456460529,419.0968690822267
2,Bad,mismatch,image_first,72.18241464979832,0.5,-0.3333333333333333,-0.3333333333333333,0.10589545894339232,458.3994212198528
2,Bad,mismatch,simultaneus,72.18241464979832,0.5,-0.3333333333333333,0.6666666666666666,1.6461968555075048,496.6063892830837
2,Bad,mismatch,word_first,72.18241464979832,0.5,-0.3333333333333333,-0.3333333333333333,-22.2993151648155,435.9942105960939
2,Good,match,image_first,72.18241464979832,-0.5,0.6666666666666666,-0.3333333333333333,-3.392541935078404,476.01209493694216
2,Good,match,simultaneus,72.18241464979832,-0.5,0.6666666666666666,0.6666666666666666,2.3856905804044395,515.1236607857584
2,Good,match,word_first,72.18241464979832,-0.5,0.6666666666666666,-0.3333333333333333,-5.302650055620303,474.10198681640026
2,Good,mismatch,image_first,72.18241464979832,0.5,0.6666666666666666,-0.3333333333333333,16.594576063035873,521.554768490612
2,Good,mismatch,simultaneus,72.18241464979832,0.5,0.6666666666666666,0.6666666666666666,-12.132061058836486,539.4947980354063
2,Good,mismatch,word_first,72.18241464979832,0.5,0.6666666666666666,-0.3333333333333333,11.314936714081018,516.2751291416572
2,Neutral,match,image_first,72.18241464979832,-0.5,-0.3333333333333333,-0.3333333333333333,-20.74202225481133,405.3292812838759
2,Neutral,match,simultaneus,72.18241464979832,-0.5,-0.3333333333333333,0.6666666666666666,16.406934099835823,485.8115709718563
2,Neutral,match,word_first,72.18241464979832,-0.5,-0.3333333333333333,-0.3333333333333333,0.5799047079778162,426.651208246665
2,Neutral,mismatch,image_first,72.18241464979832,0.5,-0.3333333333333333,-0.3333333333333333,-6.077935786014869,452.21558997489456
2,Neutral,mismatch,simultaneus,72.18241464979832,0.5,-0.3333333333333333,0.6666666666666666,-17.80812489218329,477.1520675353928
2,Neutral,mismatch,word_first,72.18241464979832,0.5,-0.3333333333333333,-0.3333333333333333,6.754136877105003,465.0476626380144
